source_domain,dns_owner,dns_rtype,dns_value,target,protocol,port,open,tls_present,valid_from,valid_to,fingerprint_sha256,error
google.com,google.com,A,172.217.2.142,172.217.2.142,HTTP,80,TRUE,FALSE,,,,
google.com,google.com,A,172.217.2.142,172.217.2.142,HTTP,443,TRUE,TRUE,Dec  3 15:50:09 2025 GMT,Feb 25 15:50:08 2026 GMT,01:93:34:8C:59:AC:52:25:54:81:E8:50:E1:E9:8A:11:1F:3C:82:81:00:B2:90:35:17:5F:25:9C:C2:2D:D2:E2,
google.com,google.com,A,172.217.2.142,172.217.2.142,MySQL,3306,FALSE,FALSE,,,,
google.com,mail.google.com,A,192.178.52.133,192.178.52.133,HTTP,80,TRUE,FALSE,,,,
google.com,mail.google.com,A,192.178.52.133,192.178.52.133,HTTP,443,TRUE,TRUE,Dec  3 15:57:31 2025 GMT,Feb 25 15:57:30 2026 GMT,D9:A3:0B:79:58:B4:D6:C1:27:BD:3D:8E:21:91:D4:0D:6D:9F:9C:C6:1B:78:2A:5A:A8:5A:F6:2F:B2:2D:18:B3,
google.com,mail.google.com,A,192.178.52.133,192.178.52.133,MySQL,3306,FALSE,FALSE,,,,
google.com,admin.google.com,A,192.178.52.142,192.178.52.142,HTTP,80,TRUE,FALSE,,,,
google.com,admin.google.com,A,192.178.52.142,192.178.52.142,HTTP,443,TRUE,TRUE,Dec  3 15:50:09 2025 GMT,Feb 25 15:50:08 2026 GMT,01:93:34:8C:59:AC:52:25:54:81:E8:50:E1:E9:8A:11:1F:3C:82:81:00:B2:90:35:17:5F:25:9C:C2:2D:D2:E2,
google.com,admin.google.com,A,192.178.52.142,192.178.52.142,MySQL,3306,FALSE,FALSE,,,,
google.com,www.google.com,A,192.178.52.196,192.178.52.196,HTTP,80,TRUE,FALSE,,,,
google.com,www.google.com,A,192.178.52.196,192.178.52.196,HTTP,443,TRUE,TRUE,Dec  3 15:57:31 2025 GMT,Feb 25 15:57:30 2026 GMT,6D:27:81:39:F2:6D:26:4E:B8:CE:4F:0B:02:95:B6:5D:C4:E2:58:C9:A9:A0:80:1D:02:70:91:FB:E9:98:E6:8B,
google.com,www.google.com,A,192.178.52.196,192.178.52.196,MySQL,3306,FALSE,FALSE,,,,
google.com,api.google.com,A,192.178.52.228,192.178.52.228,HTTP,80,TRUE,FALSE,,,,
google.com,api.l.google.com,A,192.178.52.228,192.178.52.228,HTTP,80,TRUE,FALSE,,,,
google.com,api.google.com,A,192.178.52.228,192.178.52.228,HTTP,443,TRUE,TRUE,Dec  3 15:50:09 2025 GMT,Feb 25 15:50:08 2026 GMT,01:93:34:8C:59:AC:52:25:54:81:E8:50:E1:E9:8A:11:1F:3C:82:81:00:B2:90:35:17:5F:25:9C:C2:2D:D2:E2,
google.com,api.l.google.com,A,192.178.52.228,192.178.52.228,HTTP,443,TRUE,TRUE,Dec  3 15:50:09 2025 GMT,Feb 25 15:50:08 2026 GMT,01:93:34:8C:59:AC:52:25:54:81:E8:50:E1:E9:8A:11:1F:3C:82:81:00:B2:90:35:17:5F:25:9C:C2:2D:D2:E2,
google.com,api.google.com,A,192.178.52.228,192.178.52.228,MySQL,3306,FALSE,FALSE,,,,
google.com,api.l.google.com,A,192.178.52.228,192.178.52.228,MySQL,3306,FALSE,FALSE,,,,
google.com,google.com,AAAA,2607:f8b0:4012:805::200e,2607:f8b0:4012:805::200e,HTTP,80,TRUE,FALSE,,,,
google.com,google.com,AAAA,2607:f8b0:4012:805::200e,2607:f8b0:4012:805::200e,HTTP,443,TRUE,FALSE,,,,no certificate found
google.com,google.com,AAAA,2607:f8b0:4012:805::200e,2607:f8b0:4012:805::200e,MySQL,3306,FALSE,FALSE,,,,
google.com,mail.google.com,AAAA,2607:f8b0:4012:81d::2005,2607:f8b0:4012:81d::2005,HTTP,80,TRUE,FALSE,,,,
google.com,mail.google.com,AAAA,2607:f8b0:4012:81d::2005,2607:f8b0:4012:81d::2005,HTTP,443,TRUE,FALSE,,,,no certificate found
google.com,mail.google.com,AAAA,2607:f8b0:4012:81d::2005,2607:f8b0:4012:81d::2005,MySQL,3306,FALSE,FALSE,,,,
google.com,admin.google.com,AAAA,2607:f8b0:4012:81d::200e,2607:f8b0:4012:81d::200e,HTTP,80,TRUE,FALSE,,,,
google.com,admin.google.com,AAAA,2607:f8b0:4012:81d::200e,2607:f8b0:4012:81d::200e,HTTP,443,TRUE,FALSE,,,,no certificate found
google.com,admin.google.com,AAAA,2607:f8b0:4012:81d::200e,2607:f8b0:4012:81d::200e,MySQL,3306,FALSE,FALSE,,,,
google.com,www.google.com,AAAA,2607:f8b0:4012:81f::2004,2607:f8b0:4012:81f::2004,HTTP,80,TRUE,FALSE,,,,
google.com,www.google.com,AAAA,2607:f8b0:4012:81f::2004,2607:f8b0:4012:81f::2004,HTTP,443,TRUE,FALSE,,,,no certificate found
google.com,www.google.com,AAAA,2607:f8b0:4012:81f::2004,2607:f8b0:4012:81f::2004,MySQL,3306,FALSE,FALSE,,,,
google.com,api.google.com,CNAME,api.l.google.com,api.l.google.com,HTTP,80,TRUE,FALSE,,,,
google.com,api.google.com,CNAME,api.l.google.com,api.l.google.com,HTTP,443,TRUE,TRUE,Dec  3 15:50:09 2025 GMT,Feb 25 15:50:08 2026 GMT,01:93:34:8C:59:AC:52:25:54:81:E8:50:E1:E9:8A:11:1F:3C:82:81:00:B2:90:35:17:5F:25:9C:C2:2D:D2:E2,
google.com,api.google.com,CNAME,api.l.google.com,api.l.google.com,MySQL,3306,FALSE,FALSE,,,,
